Seed, Description, Discoverer
AJPU86Z2, Poly Card Sharp Start, KStep
BR5RSD3D, Midas + Vampire early, OK
D38IYHIA, Max econ + double legendary joker start, x2
7LB2WVPK, Walkie Talkie Search, turned into flush five, A
IK74Y8DL, OP FIRST SHOP TRIBOULET, Spar10
11A8CHK2, Blueprint + Perkeo + Poly Red Seal King, Ugleh
XAHT63SS, Negative Hack and Perkeo, BlueMtWolf
9HR5LSPJ, Double Ancient + BS, HuyTheKiller
D3XS42TK, fucking shenanigans, muuyo
2YAFMNVB, Perkeo + red seal steel kings,RadioInactive
KARQHLYD, Shortcut + Crazy Joker Start,KStep